"id","api_datetime","ask","bid","market_date_time","regular_market_change_percent","regular_market_price","regular_market_time","symbol","type"
"117","1741940710","85.65","85.6","2025-03-14 16:08:28","-0.23351382","85.45","1741939708","0005.HK","M5"
"118","1742178610","365.4","365.2","2025-03-17 10:15:00","3.2185187","365.6","1742177700","0388.HK","M5"
"119","1742178610","526","525.5","2025-03-17 10:14:59","1.0546501","527","1742177699","0700.HK","M5"
"120","1742178610","88.05","88","2025-03-17 10:15:00","3.0427222","88.05","1742177700","0005.HK","M5"
"121","1742178910","365.8","365.6","2025-03-17 10:20:01","3.2749789","365.8","1742178001","0388.HK","M5"
"122","1742178910","529","528.5","2025-03-17 10:20:01","1.3422819","528.5","1742178001","0700.HK","M5"
"123","1742178910","88.15","88.1","2025-03-17 10:19:58","3.159748","88.15","1742177998","0005.HK","M5"
"124","1742179210","365.6","365.4","2025-03-17 10:24:58","3.16205","365.4","1742178298","0388.HK","M5"
"125","1742179210","529.5","529","2025-03-17 10:25:01","1.6299137","530","1742178301","0700.HK","M5"
"126","1742179210","88.15","88.1","2025-03-17 10:24:56","3.159748","88.15","1742178296","0005.HK","M5"
"127","1742179510","366.4","366","2025-03-17 10:29:57","3.3314476","366","1742178597","0388.HK","M5"
"128","1742179510","530.5","530","2025-03-17 10:30:01","1.725791","530.5","1742178601","0700.HK","M5"
"129","1742179510","88.15","88.1","2025-03-17 10:30:00","3.0427222","88.05","1742178600","0005.HK","M5"
"130","1742179810","366.6","366.4","2025-03-17 10:35:01","3.5008452","366.6","1742178901","0388.HK","M5"
"131","1742179810","530","529.5","2025-03-17 10:35:01","1.6299137","530","1742178901","0700.HK","M5"
"132","1742179810","88.15","88.1","2025-03-17 10:34:49","3.159748","88.15","1742178889","0005.HK","M5"
"133","1742180110","367.2","367","2025-03-17 10:40:00","3.613774","367","1742179200","0388.HK","M5"
"134","1742180110","530","529.5","2025-03-17 10:40:01","1.725791","530.5","1742179201","0700.HK","M5"
"135","1742180110","88.2","88.15","2025-03-17 10:39:53","3.159748","88.15","1742179193","0005.HK","M5"
"136","1742180410","366.4","366.2","2025-03-17 10:45:00","3.3879163","366.2","1742179500","0388.HK","M5"
"137","1742180410","529.5","529","2025-03-17 10:44:57","1.4381591","529","1742179497","0700.HK","M5"
"138","1742180410","88.2","88.15","2025-03-17 10:44:48","3.159748","88.15","1742179488","0005.HK","M5"
"139","1742180710","367.4","367","2025-03-17 10:49:58","3.613774","367","1742179798","0388.HK","M5"
"140","1742180710","530.5","530","2025-03-17 10:50:00","1.6299137","530","1742179800","0700.HK","M5"
"141","1742180710","88.25","88.2","2025-03-17 10:49:58","3.2182565","88.2","1742179798","0005.HK","M5"
"142","1742181010","368.2","368","2025-03-17 10:55:01","3.8961003","368","1742180101","0388.HK","M5"
"143","1742181010","530","529.5","2025-03-17 10:55:01","1.5340364","529.5","1742180101","0700.HK","M5"
"144","1742181010","88.3","88.25","2025-03-17 10:54:56","3.2767737","88.25","1742180096","0005.HK","M5"
"145","1742181310","368.6","368.4","2025-03-17 11:00:00","4.065498","368.6","1742180400","0388.HK","M5"
"146","1742181310","531","530","2025-03-17 11:00:01","1.725791","530.5","1742180401","0700.HK","M5"
"147","1742181310","88.3","88.25","2025-03-17 11:00:00","3.2767737","88.25","1742180400","0005.HK","M5"
"148","1742181610","368.4","368.2","2025-03-17 11:05:02","4.009029","368.4","1742180702","0388.HK","M5"
"149","1742181610","531","530.5","2025-03-17 11:04:55","1.725791","530.5","1742180695","0700.HK","M5"
"150","1742181610","88.3","88.25","2025-03-17 11:05:02","3.3352911","88.3","1742180702","0005.HK","M5"
"151","1742181910","368","367.8","2025-03-17 11:09:59","3.8396316","367.8","1742180999","0388.HK","M5"
"152","1742181910","531","530.5","2025-03-17 11:09:59","1.8216683","531","1742180999","0700.HK","M5"
"153","1742181910","88.25","88.2","2025-03-17 11:10:00","3.2182565","88.2","1742181000","0005.HK","M5"
"154","1742182214","367.6","367.4","2025-03-17 11:14:59","3.7267027","367.4","1742181299","0388.HK","M5"
"155","1742182214","530","529.5","2025-03-17 11:15:03","1.5340364","529.5","1742181303","0700.HK","M5"
"156","1742182214","88.2","88.15","2025-03-17 11:15:05","3.2182565","88.2","1742181305","0005.HK","M5"
"157","1742182510","367.4","367.2","2025-03-17 11:19:58","3.7831714","367.6","1742181598","0388.HK","M5"
"158","1742182510","529","528.5","2025-03-17 11:20:01","1.4381591","529","1742181601","0700.HK","M5"
"159","1742182510","88.1","88.05","2025-03-17 11:19:58","3.0427222","88.05","1742181598","0005.HK","M5"
"160","1742182810","368.6","368.4","2025-03-17 11:25:01","4.009029","368.4","1742181901","0388.HK","M5"
"161","1742182810","529.5","529","2025-03-17 11:25:00","1.5340364","529.5","1742181900","0700.HK","M5"
"162","1742182810","88.15","88.1","2025-03-17 11:24:47","3.159748","88.15","1742181887","0005.HK","M5"
"163","1742183112","368.6","368.4","2025-03-17 11:30:02","4.065498","368.6","1742182202","0388.HK","M5"
"164","1742183112","529","528.5","2025-03-17 11:30:01","1.4381591","529","1742182201","0700.HK","M5"
"165","1742183112","88.1","88.05","2025-03-17 11:29:57","3.1012306","88.1","1742182197","0005.HK","M5"
"166","1742183410","368.6","368.4","2025-03-17 11:34:58","4.009029","368.4","1742182498","0388.HK","M5"
"167","1742183410","528.5","528","2025-03-17 11:34:59","1.1505274","527.5","1742182499","0700.HK","M5"
"168","1742183410","88.1","88.05","2025-03-17 11:34:59","3.1012306","88.1","1742182499","0005.HK","M5"
"169","1742183710","368.4","368.2","2025-03-17 11:39:56","3.952569","368.2","1742182796","0388.HK","M5"
"170","1742183710","528","527.5","2025-03-17 11:40:00","1.1505274","527.5","1742182800","0700.HK","M5"
"171","1742183710","88.05","88","2025-03-17 11:39:58","3.0427222","88.05","1742182798","0005.HK","M5"
"172","1742184010","368.4","368","2025-03-17 11:45:00","3.952569","368.2","1742183100","0388.HK","M5"
"173","1742184010","528","527.5","2025-03-17 11:45:00","1.1505274","527.5","1742183100","0700.HK","M5"
"174","1742184010","88.05","88","2025-03-17 11:44:50","2.984205","88","1742183090","0005.HK","M5"
"175","1742184310","368.4","368","2025-03-17 11:50:00","3.8961003","368","1742183400","0388.HK","M5"
"176","1742184310","529","528.5","2025-03-17 11:49:59","1.4381591","529","1742183399","0700.HK","M5"
"177","1742184310","88.1","88.05","2025-03-17 11:50:00","3.1012306","88.1","1742183400","0005.HK","M5"
"178","1742184617","368.6","368.4","2025-03-17 11:55:09","4.009029","368.4","1742183709","0388.HK","M5"
"179","1742184617","529.5","528.5","2025-03-17 11:55:06","1.4381591","529","1742183706","0700.HK","M5"
"180","1742184617","88.1","88.05","2025-03-17 11:55:06","3.0427222","88.05","1742183706","0005.HK","M5"
"181","1742184910","368.8","368.6","2025-03-17 11:59:59","4.121958","368.8","1742183999","0388.HK","M5"
"182","1742184910","529","528.5","2025-03-17 11:59:56","1.4381591","529","1742183996","0700.HK","M5"
"183","1742184910","88.15","88.1","2025-03-17 11:59:52","3.0427222","88.05","1742183992","0005.HK","M5"
"184","1742188510","368.8","368.6","2025-03-17 13:00:01","4.009029","368.4","1742187601","0388.HK","M5"
"185","1742188510","529","528.5","2025-03-17 13:00:01","1.1505274","527.5","1742187601","0700.HK","M5"
"186","1742188510","88.1","88.05","2025-03-17 13:00:00","3.1012306","88.1","1742187600","0005.HK","M5"
"187","1742188810","369.2","368.8","2025-03-17 13:04:58","4.1784267","369","1742187898","0388.HK","M5"
"188","1742188810","528.5","528","2025-03-17 13:05:00","1.1505274","527.5","1742187900","0700.HK","M5"
"189","1742188810","88.05","88","2025-03-17 13:05:00","2.984205","88","1742187900","0005.HK","M5"
"190","1742189110","368.4","368.2","2025-03-17 13:09:59","3.952569","368.2","1742188199","0388.HK","M5"
"191","1742189110","526.5","526","2025-03-17 13:10:02","0.9587728","526.5","1742188202","0700.HK","M5"
"192","1742189110","88.05","88","2025-03-17 13:09:58","2.984205","88","1742188198","0005.HK","M5"
"193","1742189410","366.8","366.6","2025-03-17 13:15:01","3.613774","367","1742188501","0388.HK","M5"
"194","1742189410","526","525.5","2025-03-17 13:15:01","0.8628955","526","1742188501","0700.HK","M5"
"195","1742189410","88.05","87.95","2025-03-17 13:14:56","2.984205","88","1742188496","0005.HK","M5"
"196","1742189710","366.2","366","2025-03-17 13:20:00","3.3879163","366.2","1742188800","0388.HK","M5"
"197","1742189710","526","525.5","2025-03-17 13:20:00","0.7670182","525.5","1742188800","0700.HK","M5"
"198","1742189710","87.95","87.9","2025-03-17 13:19:54","2.8671792","87.9","1742188794","0005.HK","M5"
"199","1742190010","366.6","366.4","2025-03-17 13:25:01","3.613774","367","1742189101","0388.HK","M5"
"200","1742190010","526","525.5","2025-03-17 13:24:57","0.9587728","526.5","1742189097","0700.HK","M5"
